tree_id,樹種,経度,緯度,区分,場所,出典
PT1108-00-0298,マツ,139.6221226,35.69885039,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0312,アカマツ,139.6220708,35.6988395,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0325,マツ,139.6220178,35.6988285,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0336,アカマツ,139.6221226,35.69882175,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0352,マツ,139.6221543,35.6988075,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0372,マツ,139.6221412,35.69879122,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0400,マツ,139.6226372,35.69875575,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0413,アカマツ,139.622023,35.69873856,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0415,マツ,139.6226072,35.69873681,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0421,マツ,139.6224662,35.69872556,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0422,マツ,139.6224384,35.6987235,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0427,マツ,139.6225278,35.69871556,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0428,マツ,139.6224927,35.69871517,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0430,アカマツ,139.6220745,35.69870197,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT1108-00-0431,マツ,139.6225772,35.69869458,公園樹木（杉並区）,荻窪二丁目緑地,suginami_park_matsu
PT2003-00-0028,ゴヨウマツ,139.594689,35.71860147,公園樹木（杉並区）,山葉名いこいの森,suginami_park_matsu
PT0004-01-0004,コナラ,139.640144083337,35.6872571109667,公園樹木（杉並区）,和田堀公園,suginami_park_nara
PT0004-01-0005,コナラ,139.64015516667,35.6872520554113,公園樹木（杉並区）,和田堀公園,suginami_park_nara
PT0004-01-0006,コナラ,139.640243805557,35.68724858319,公園樹木（杉並区）,和田堀公園,suginami_park_nara
PT0004-01-0007,コナラ,139.64011191667,35.6872466109663,公園樹木（杉並区）,和田堀公園,suginami_park_nara
PT0004-01-0009,コナラ,139.640243166669,35.6872344443011,公園樹木（杉並区）,和田堀公園,suginami_park_nara
PT0004-01-0010,コナラ,139.640081472226,35.6872333054104,公園樹木（杉並区）,和田堀公園,suginami_park_nara
PT0004-01-0011,コナラ,139.640168388892,35.687232860967,公園樹木（杉並区）,和田堀公園,suginami_park_nara
PT0004-01-0012,コナラ,139.64011266667,35.6872237498552,公園樹木（杉並区）,和田堀公園,suginami_park_nara
